(2,int,2,1)
(1,add,2,5)
(6,(,2,8)
(2,int,2,9)
(1,a,2,13)
(6,,,2,14)
(2,int,2,16)
(1,b,2,20)
(6,),2,21)
(6,{,2,23)
(2,return,3,5)
(1,a,3,12)
(7,+,3,14)
(1,b,3,16)
(6,;,3,17)
(6,},4,1)
(2,int,6,1)
(1,main,6,5)
(6,(,6,9)
(6,),6,10)
(6,{,6,12)
(2,int,7,5)
(1,a,7,9)
(6,,,7,10)
(1,b,7,12)
(6,,,7,13)
(1,c,7,15)
(6,,,7,16)
(1,d,7,18)
(6,,,7,19)
(1,m,7,21)
(6,,,7,22)
(1,n,7,24)
(6,,,7,25)
(1,p,7,27)
(6,,,7,28)
(1,x,7,30)
(6,;,7,31)
(1,a,9,5)
(9,=,9,7)
(4,1,9,9)
(6,;,9,10)
(1,b,10,5)
(9,=,10,7)
(4,2,10,9)
(6,;,10,10)
(1,c,11,5)
(9,=,11,7)
(4,3,11,9)
(6,;,11,10)
(1,x,13,5)
(9,=,13,7)
(6,(,13,9)
(1,a,13,10)
(7,+,13,12)
(1,b,13,14)
(7,*,13,16)
(6,(,13,18)
(1,c,13,19)
(7,+,13,21)
(1,d,13,23)
(7,*,13,25)
(6,(,13,26)
(1,m,13,27)
(7,-,13,29)
(1,n,13,31)
(6,),13,32)
(6,),13,33)
(6,),13,34)
(7,/,13,36)
(1,p,13,38)
(6,;,13,39)
(2,if,15,5)
(6,(,15,8)
(1,x,15,9)
(7,+,15,11)
(1,b,15,13)
(8,>,15,15)
(4,0,15,17)
(2,or,15,19)
(1,a,15,22)
(8,==,15,24)
(4,1,15,27)
(6,),15,28)
(6,{,15,30)
(1,add,16,9)
(6,(,16,12)
(1,x,16,13)
(6,,,16,14)
(1,a,16,16)
(6,),16,17)
(6,;,16,18)
(6,},17,5)
(2,else,17,7)
(6,{,17,12)
(2,break,18,9)
(6,;,18,14)
(6,},19,5)
(2,return,20,5)
(1,x,20,12)
(7,+,20,14)
(1,a,20,16)
(7,*,20,18)
(1,c,20,20)
(6,;,20,21)
(6,},21,1)
(2,int,23,1)
(1,err,23,5)
(6,(,23,8)
(2,float,23,9)
(1,x,23,15)
(6,,,23,16)
(2,int,23,18)
(1,c,23,22)
(6,),23,23)
(6,{,23,25)
(2,int,24,5)
(1,num1,24,9)
(6,,,24,13)
(1,num2,24,15)
(6,;,24,19)
(1,num3,25,5)
(9,=,25,10)
(1,num1,25,12)
(7,+,25,17)
(1,num2,25,19)
(6,;,25,23)
(2,float,26,5)
(1,c,26,11)
(6,;,26,12)
(1,test,28,5)
(6,(,28,9)
(1,num1,28,10)
(6,,,28,14)
(1,num2,28,16)
(6,),28,20)
(6,;,28,21)
(1,add,29,5)
(6,(,29,8)
(1,num1,29,9)
(6,),29,13)
(6,;,29,14)
(2,return,31,5)
(4,1,31,12)
(6,;,31,13)
(6,},32,1)
